country,health_life_2022,health_doc_2017,health_spending_2010,health_uhc_2021,health_life_2022_n,health_doc_2017_n,health_spending_2010_n,health_uhc_2021_n,health_s
Libya,75.6,2.16,3.88,62.0,88.73239436619717,25.827494563904327,12.707182320441985,54.6875,45.488642812635874
St. Lucia,72.9,0.655,8.7,77.0,85.56338028169014,7.646774583232664,42.29588704726825,78.125,53.40776047804776
Liechtenstein,0.0,,,,0.0,,,,0.0
Sri Lanka,77.9,0.911,2.94,67.0,91.43192488262912,10.739309011838609,6.936771025168813,62.5,42.90200122990913
Lesotho,50.7,,11.1,53.0,59.50704225352113,,57.028852056476346,40.625,39.29022357749937
Lithuania,74.3,4.44,7.04,75.0,87.20657276995306,53.37037931867601,32.10558624923265,75.0,61.92063458446543
Luxembourg,83.4,2.98,7.77,83.0,97.88732394366197,35.73326890553274,36.58686310620011,87.5,64.42686398884871
Latvia,76.3,3.18,6.68,75.0,89.55399061032864,38.14931142788113,29.895641497851432,75.0,58.1497358840153
Morocco,74.0,0.732,5.2,69.0,86.8544600938967,8.576950954336796,20.810313075506443,65.625,45.466681030934986
Monaco,80.4,,4.3,86.0,94.3661971830986,,15.285451197053403,92.1875,50.459787095038
Moldova,71.9,4.09,11.7,71.0,84.38967136150235,49.14230490456631,60.71209330877837,68.75,65.74851739371175
Madagascar,64.8,,3.77,35.0,76.05633802816901,,12.031921424186615,12.5,25.147064863088907
Maldives,79.8,1.84,6.33,61.0,93.6619718309859,21.961826528146897,27.747084100675252,53.125,49.123970614952015
Mexico,76.3,2.42,,75.0,89.55399061032864,28.968349842957235,,75.0,48.38058511332147
Marshall Islands,65.9,,18.1,59.0,77.3474178403756,,100.0,50.0,56.8368544600939
North Macedonia,71.1,,7.09,74.0,83.4507042253521,,32.412523020257815,73.4375,47.32518181140248
Mali,61.6,0.116,4.98,41.0,72.30046948356808,1.135539985503745,19.459791282995702,21.875,28.69270018801688
Malta,83.1,,8.65,85.0,97.53521126760563,,41.98895027624309,90.625,57.53729038596218
Myanmar,70.1,0.882,1.97,52.0,82.2769953051643,10.388982846098092,0.9821976672805396,39.0625,33.177668954635735
Montenegro,75.7,2.62,9.11,72.0,88.84976525821595,31.38439236530563,44.81276856967463,70.3125,58.83985654829905
Mongolia,68.9,,5.44,65.0,80.86854460093898,,22.283609576427256,59.375,40.63178854434156
Mozambique,56.9,0.076,5.21,44.0,66.78403755868544,0.6523314810340662,20.871700429711478,26.5625,28.717642367357747
Mauritania,69.7,0.19,4.41,40.0,81.8075117370892,2.0294757187726504,15.960712093308775,20.3125,30.027549887292654
Mauritius,74.3,2.26,6.0,66.0,87.20657276995306,27.03551582507852,25.72130141190914,60.9375,50.225222501735175
Malawi,63.5,,6.59,48.0,74.53051643192488,,29.34315531000613,32.8125,34.17154293548275
Malaysia,75.5,1.81,4.39,76.0,88.6150234741784,21.599420149794636,15.837937384898705,76.5625,50.65372025221794
Namibia,60.0,0.601,6.78,63.0,70.4225352112676,6.994443102198598,30.50951503990178,56.25,41.044123338342
Niger,61.7,0.022,5.16,35.0,72.41784037558685,0.0,20.564763658686307,12.5,26.370651008568288
Nigeria,65.2,,5.07,38.0,76.52582159624413,,20.012277470841003,17.1875,28.431399766771282
Nicaragua,76.0,0.975,,70.0,89.2018779342723,11.512442618990093,,67.1875,41.975455138315596
Netherlands,82.2,3.59,11.9,85.0,96.47887323943662,43.10219859869534,61.939840392879056,90.625,73.03647805775276
Norway,83.3,4.74,9.48,87.0,97.76995305164318,56.994443102198595,47.08410067526089,93.75,73.89962420727566
Nepal,72.0,0.892,5.25,54.0,84.50704225352112,10.50978497221551,21.11724984653161,42.1875,39.58039426806706
Nauru,63.9,,11.2,60.0,75.0,,57.64272559852669,51.5625,46.05130639963167
New Zealand,82.2,3.3,10.1,85.0,96.47887323943662,39.59893694129016,50.89011663597297,90.625,69.39823170417493
Oman,70.1,2.01,2.77,70.0,82.2769953051643,24.015462672143027,5.89318600368324,67.1875,44.84328599524764
Pakistan,65.5,0.961,2.2,45.0,76.87793427230046,11.343319642425705,2.3941068139963173,28.125,29.68509018218062
Panama,79.0,1.59,8.1,78.0,92.72300469483568,18.941773375211405,38.61264579496623,79.6875,57.491230966253326
Peru,77.3,,5.08,71.0,90.72769953051643,,20.073664825046038,68.75,44.88784108889062
Philippines,72.2,0.669,3.61,58.0,84.74178403755869,7.815897559797052,11.049723756906074,48.4375,38.01122633856545
Palau,68.1,,10.3,65.0,79.92957746478872,,52.11786372007366,59.375,47.855610296215595
Papua New Guinea,65.1,,3.58,30.0,76.40845070422534,,10.865561694290975,4.6875,22.99037809962908
Poland,77.2,2.34,7.46,82.0,90.61032863849765,28.00193283401788,34.68385512584407,85.9375,59.8084041495899
North Korea,73.5,3.67,,68.0,86.26760563380282,44.06861560763469,,64.0625,48.599680310359375
Portugal,82.3,5.12,11.0,88.0,96.59624413145539,61.58492389466054,56.41497851442602,95.3125,77.47716163513549
Paraguay,73.3,,5.87,72.0,86.03286384976525,,24.923265807243705,70.3125,45.317157414252236
Palestine,73.0,1.77,,,85.68075117370891,21.11621164532496,,,26.699240704758466
Qatar,76.8,,1.81,76.0,90.14084507042253,,0.0,76.5625,41.67583626760563
Romania,73.2,2.97,5.58,78.0,85.91549295774648,35.61246677941532,23.143032535297724,79.6875,56.08962306811488
Russia,69.2,4.08,5.08,79.0,81.2206572769953,49.02150277844889,20.073664825046038,81.25,57.89145622012255
Rwanda,69.4,0.135,10.5,49.0,81.45539906103288,1.3650640251268424,53.34561080417433,34.375,42.63526847258351
Saudi Arabia,75.1,2.41,4.29,74.0,88.14553990610327,28.84754771683982,15.22406384284837,73.4375,51.413662866447865
Sudan,70.2,0.263,6.32,44.0,82.39436619718309,2.911331239429814,27.68569674647022,26.5625,34.88847354577078
Senegal,67.9,0.07,5.66,50.0,79.69483568075118,0.5798502053636144,23.634131368937997,35.9375,34.961579313763195
Singapore,85.2,2.32,3.96,89.0,100.0,27.76032858178304,13.198281154082256,96.875,59.45840243396633
Solomon Islands,59.5,,8.55,47.0,69.83568075117371,,41.37507673419275,31.25,35.615189371341614
Sierra Leone,61.9,,13.1,41.0,72.65258215962442,,69.30632289748311,21.875,40.95847626427688
El Salvador,74.6,,6.91,78.0,87.55868544600938,,31.30755064456721,79.6875,49.63843402264415
San Marino,82.6,,7.13,77.0,96.94835680751173,,32.658072437077955,78.125,51.93285731114742
Somalia,57.5,,,27.0,67.48826291079811,,,0.0,16.87206572769953
Serbia,73.1,,10.4,72.0,85.79812206572768,,52.73173726212399,70.3125,52.21058983196292
South Sudan,63.4,,,34.0,74.4131455399061,,,10.9375,21.337661384976524
Sao Tome and Principe,71.2,,7.17,59.0,83.5680751173709,,32.903621853898095,50.0,41.617924242817246
Suriname,70.7,1.15,7.01,63.0,82.98122065727699,13.626479826044935,31.921424186617543,56.25,46.19478116748487
Slovak Republic,75.2,3.42,8.79,82.0,88.26291079812206,41.0485624546992,42.848373235113556,85.9375,64.52433662198371
Slovenia,81.9,3.05,9.41,84.0,96.12676056338029,36.57888378835467,46.65438919582565,89.0625,67.10563338689016
Sweden,83.3,4.27,9.63,85.0,97.76995305164318,51.316743174679864,48.0049109883364,90.625,71.92915180366487
Eswatini,54.2,0.181,6.61,56.0,63.6150234741784,1.9207538052669726,29.465930018416206,45.3125,35.07855182446539
Seychelles,71.2,,3.4,75.0,83.5680751173709,,9.760589318600367,75.0,42.082166108992816
Syria,74.4,,3.41,64.0,87.32394366197184,,9.8219766728054,57.8125,38.739605083694315
Chad,60.1,0.043,4.53,29.0,70.53990610328638,0.25368446484658125,16.69736034376918,3.125,22.653987727975537
Togo,65.8,0.074,7.65,44.0,77.2300469483568,0.6281710558105823,35.850214855739715,26.5625,35.067733214976776
Thailand,79.1,0.788,3.88,82.0,92.84037558685445,9.253442860594346,12.707182320441985,85.9375,50.1846251919727
Tajikistan,70.0,,5.98,67.0,82.15962441314554,,25.598526703499076,62.5,42.56453777916116
Turkmenistan,71.2,,2.5,75.0,83.5680751173709,,4.235727440147329,75.0,40.700950639379556
Timor-Leste,71.4,0.751,9.12,52.0,83.80281690140846,8.806474993959892,44.87415592387967,39.0625,44.13648695481201
Tonga,73.4,,5.07,57.0,86.15023474178405,,20.012277470841003,46.875,38.25937805315626
Trinidad and Tobago,75.4,3.15,5.67,75.0,88.49765258215963,37.78690504952887,23.695518723143028,75.0,56.245019088707885
Tunisia,75.9,1.26,6.21,67.0,89.08450704225353,14.955303213336553,27.010435850214854,62.5,48.387561526451236
Turkey,79.0,1.83,6.74,76.0,92.72300469483568,21.841024402029475,30.26396562308164,76.5625,55.3476236799867
Tuvalu,68.5,,17.5,52.0,80.39906103286384,,96.31675874769796,39.0625,53.94457994514045
Taiwan,80.9,,,,94.9530516431925,,,,23.738262910798124
Tanzania,67.0,,6.01,43.0,78.63849765258216,,25.782688766114173,25.0,32.35529660467408
Uganda,66.9,0.172,9.01,49.0,78.52112676056339,1.812031891761295,44.198895027624296,34.375,39.72676341998724
Ukraine,67.9,,7.72,76.0,79.69483568075118,,36.27992633517495,76.5625,48.13431550398153
Uruguay,78.0,4.96,8.35,82.0,91.54929577464789,59.65208987678182,40.14732965009207,85.9375,69.32155382538045
USA,78.0,,17.9,86.0,91.54929577464789,,98.77225291589932,92.1875,70.6272621726368
Uzbekistan,68.8,,5.81,75.0,80.75117370892019,,24.5549416820135,75.0,45.07652884773342
St. Vincent and the Grenadines,69.1,,4.47,69.0,81.10328638497651,,16.329036218538974,65.625,40.764330650878875
Venezuela,74.0,1.66,4.91,75.0,86.8544600938967,19.78738825803334,19.030079803560465,75.0,50.16798203887262
Vietnam,75.0,,6.84,68.0,88.0281690140845,,30.877839165131974,64.0625,45.74212704480412
Vanuatu,66.0,,5.25,47.0,77.46478873239437,,21.11724984653161,31.25,32.45800964473149
Samoa,70.9,,6.47,55.0,83.21596244131456,,28.606507059545727,43.75,38.89311737521507
Yemen,66.3,,5.18,42.0,77.8169014084507,,20.687538367096373,23.4375,30.485484943886767
South Africa,60.5,0.788,8.94,71.0,71.0093896713615,9.253442860594346,43.76918354818906,68.75,48.195504020036225
Zambia,62.2,,5.89,56.0,73.00469483568075,,25.04604051565377,45.3125,35.840808837833634
Zimbabwe,59.1,0.179,,55.0,69.36619718309859,1.8965933800434887,,43.75,28.75319764078552
Aruba,,,,,,,,,0.0
American Samoa,,,,,,,,,0.0
Bermuda,,,,,,,,,0.0
Channel Islands,,,,,,,,,0.0
Cayman Islands,,,,,,,,,0.0
Isle of Man,,,,,,,,,0.0
Greenland,,,,,,,,,0.0
Guam,,,,,,,,,0.0
"Macao, China",,,,,,,,,0.0
Northern Mariana Islands,,,,,,,,,0.0
New Caledonia,,,,,,,,,0.0
Puerto Rico,,,,,,,,,0.0
French Polynesia,,,,,,,,,0.0
Virgin Islands (U.S.),,,,,,,,,0.0
Cook Is,,,4.35,,,,15.59238796807857,,3.8980969920196427
Niue,,,17.4,,,,95.7028852056476,,23.9257213014119
